Day	Time	Price
12	9.0017 	70.9
12	9.0017 	70.89
12	9.0022 	70.89
12	9.0031 	70.87
12	9.0039 	70.89
12	9.0042 	70.87
12	9.0047 	70.87
12	9.0050 	70.86
12	9.0058 	70.6
12	9.0058 	70.6
12	9.0058 	70.55
12	9.0058 	70.4
12	9.0058 	70.31
12	9.0058 	70.31
12	9.0069 	70.79
12	9.0136 	70.47
12	9.0167 	70.71
12	9.0292 	70.75
12	9.0306 	70.74
12	9.0306 	70.77
12	9.0308 	70.77
12	9.0311 	70.79
12	9.0319 	70.79
12	9.0347 	70.64
12	9.0444 	70.79
12	9.0444 	70.79
12	9.0506 	70.8
12	9.0508 	70.68
12	9.0522 	70.69
12	9.0522 	70.68
12	9.0525 	70.68
12	9.0528 	70.73
12	9.0528 	70.68
12	9.0528 	70.68
12	9.0536 	70.69
12	9.0536 	70.69
12	9.0539 	70.68
12	9.0575 	70.67
12	9.0586 	70.67
12	9.0586 	70.67
12	9.0586 	70.67
12	9.0586 	70.67
12	9.0586 	70.67
12	9.0586 	70.67
12	9.0586 	70.67
12	9.0600 	70.7
12	9.0611 	70.66
12	9.0611 	70.65
12	9.0611 	70.65
12	9.0675 	70.65
12	9.0722 	70.65
12	9.0722 	70.65
12	9.0828 	70.65
12	9.0839 	70.65
12	9.0839 	70.65
12	9.0839 	70.65
12	9.0839 	70.65
12	9.0839 	70.65
12	9.0839 	70.65
12	9.0839 	70.65
12	9.0839 	70.65
12	9.0839 	70.65
12	9.0853 	70.65
12	9.0853 	70.65
12	9.0858 	70.65
12	9.0858 	70.64
12	9.0858 	70.63
12	9.0858 	70.62
12	9.0858 	70.61
12	9.0858 	70.6
12	9.0936 	70.69
12	9.0942 	70.73
12	9.0950 	70.79
12	9.0950 	70.8
12	9.0950 	70.8
12	9.0950 	70.8
12	9.0953 	70.87
12	9.0953 	70.89
12	9.0953 	70.9
12	9.0953 	70.91
12	9.0953 	70.95
12	9.0953 	70.97
12	9.0956 	70.81
12	9.0956 	70.8
12	9.0964 	70.86
12	9.0964 	70.85
12	9.0964 	70.83
12	9.1000 	70.96
12	9.1000 	70.96
12	9.1000 	70.96
12	9.1000 	70.97
12	9.1061 	70.97
12	9.1089 	70.97
12	9.1092 	70.97
12	9.1092 	70.98
12	9.1092 	71
12	9.1097 	70.97
12	9.1097 	71
12	9.1100 	71
12	9.1100 	70.99
12	9.1100 	71
12	9.1100 	71.01
12	9.1122 	71.18
12	9.1128 	71.17
12	9.1139 	71.25
12	9.1142 	71.24
12	9.1142 	71.24
12	9.1142 	71.25
12	9.1142 	71.25
12	9.1150 	71.18
12	9.1150 	71.18
12	9.1150 	71.18
12	9.1156 	71.17
12	9.1156 	71.17
12	9.1172 	71.16
12	9.1208 	71.14
12	9.1236 	71.16
12	9.1236 	71.16
12	9.1236 	71.15
12	9.1242 	71.07
12	9.1244 	71.07
12	9.1244 	71.07
12	9.1244 	71.07
12	9.1253 	71.07
12	9.1258 	71.01
12	9.1314 	70.81
12	9.1400 	70.89
12	9.1417 	70.9
12	9.1417 	70.9
12	9.1456 	70.9
12	9.1506 	70.89
12	9.1506 	70.88
12	9.1511 	71.02
12	9.1511 	71.1
12	9.1511 	71.11
12	9.1539 	71.09
12	9.1539 	71.09
12	9.1556 	71.11
12	9.1581 	71.11
12	9.1589 	71.03
12	9.1592 	71.03
12	9.1592 	71.01
12	9.1597 	71.01
12	9.1600 	71
12	9.1600 	71
12	9.1619 	70.83
12	9.1619 	70.85
12	9.1619 	70.89
12	9.1619 	71
12	9.1622 	70.81
12	9.1622 	70.78
12	9.1625 	70.73
12	9.1625 	70.69
12	9.1625 	70.66
12	9.1625 	70.65
12	9.1672 	70.67
12	9.1722 	70.87
12	9.1800 	70.79
12	9.1800 	70.78
12	9.1800 	70.77
12	9.1864 	70.8
12	9.1867 	70.82
12	9.1867 	70.8
12	9.1867 	70.78
12	9.1867 	70.78
12	9.1867 	70.79
12	9.1867 	70.79
12	9.1867 	70.78
12	9.1881 	70.77
12	9.1892 	70.83
12	9.1894 	70.77
12	9.1897 	70.77
12	9.1897 	70.69
12	9.1897 	70.79
12	9.1897 	70.8
12	9.1897 	70.86
12	9.1897 	70.87
12	9.1897 	70.87
12	9.1897 	70.87
12	9.1897 	70.87
12	9.1897 	70.87
12	9.1900 	70.87
12	9.1914 	70.87
12	9.1947 	70.92
12	9.1947 	70.92
12	9.1956 	70.89
12	9.1956 	70.88
12	9.1956 	70.87
12	9.1956 	70.79
12	9.1956 	70.7
12	9.1958 	70.67
12	9.1961 	70.69
12	9.1961 	70.69
12	9.1978 	70.67
12	9.1978 	70.67
12	9.2003 	70.64
12	9.2003 	70.6
12	9.2003 	70.6
12	9.2006 	70.65
12	9.2006 	70.6
12	9.2006 	70.65
12	9.2006 	70.65
12	9.2008 	70.61
12	9.2008 	70.6
12	9.2028 	70.66
12	9.2031 	70.66
12	9.2031 	70.66
12	9.2031 	70.66
12	9.2044 	70.74
12	9.2081 	70.67
12	9.2114 	70.58
12	9.2114 	70.58
12	9.2119 	70.54
12	9.2119 	70.53
12	9.2119 	70.51
12	9.2144 	70.57
12	9.2144 	70.51
12	9.2144 	70.52
12	9.2147 	70.57
12	9.2172 	70.51
12	9.2175 	70.53
12	9.2175 	70.54
12	9.2175 	70.57
12	9.2178 	70.66
12	9.2178 	70.67
12	9.2178 	70.76
12	9.2178 	70.57
12	9.2178 	70.55
12	9.2178 	70.54
12	9.2178 	70.51
12	9.2250 	70.76
12	9.2250 	70.76
12	9.2275 	70.79
12	9.2275 	70.8
12	9.2294 	70.77
12	9.2294 	70.76
12	9.2319 	70.8
12	9.2319 	70.81
12	9.2319 	70.8
12	9.2358 	70.86
12	9.2358 	70.86
12	9.2358 	70.86
12	9.2367 	70.82
12	9.2367 	70.81
12	9.2367 	70.81
12	9.2369 	70.83
12	9.2389 	70.86
12	9.2389 	70.87
12	9.2392 	70.87
12	9.2392 	70.87
12	9.2456 	70.88
12	9.2483 	70.9
12	9.2497 	70.93
12	9.2528 	71.02
12	9.2528 	71.02
12	9.2539 	71.05
12	9.2539 	71.07
12	9.2544 	71.05
12	9.2544 	71.04
12	9.2544 	70.92
12	9.2544 	70.91
12	9.2567 	70.97
12	9.2567 	70.97
12	9.2567 	71
12	9.2569 	70.94
12	9.2569 	70.93
12	9.2631 	70.94
12	9.2650 	71
12	9.2667 	71
12	9.2667 	71
12	9.2697 	71.04
12	9.2733 	70.94
12	9.2733 	70.93
12	9.2736 	70.93
12	9.2736 	70.88
12	9.2742 	70.89
12	9.2750 	70.96
12	9.2750 	70.97
12	9.2750 	71
12	9.2769 	70.91
12	9.2769 	70.9
12	9.2769 	70.87
12	9.2775 	70.84
12	9.2789 	70.83
12	9.2789 	70.81
12	9.2797 	70.76
12	9.2797 	70.77
12	9.2819 	70.81
12	9.2819 	70.81
12	9.2850 	70.79
12	9.2864 	70.79
12	9.2864 	70.79
12	9.2869 	70.77
12	9.2872 	70.81
12	9.2875 	70.81
12	9.2886 	70.8
12	9.2889 	70.81
12	9.2903 	70.81
12	9.2906 	70.81
12	9.2906 	70.81
12	9.2906 	70.87
12	9.2906 	70.88
12	9.2950 	70.81
12	9.2950 	70.81
12	9.2950 	70.86
12	9.2986 	70.86
12	9.2992 	70.86
12	9.2992 	70.86
12	9.3036 	70.89
12	9.3083 	70.96
12	9.3083 	70.96
12	9.3092 	70.87
12	9.3100 	70.95
12	9.3103 	70.94
12	9.3150 	70.9
12	9.3158 	70.9
12	9.3158 	70.94
12	9.3158 	70.95
12	9.3158 	71
12	9.3158 	71
12	9.3158 	71
12	9.3158 	71
12	9.3158 	71
12	9.3158 	71
12	9.3158 	71.05
12	9.3158 	71.09
12	9.3158 	71
12	9.3158 	71.09
12	9.3192 	71.02
12	9.3192 	71.01
12	9.3192 	71
12	9.3200 	71
12	9.3217 	71
12	9.3217 	71
12	9.3219 	71
12	9.3219 	71
12	9.3219 	71
12	9.3219 	71
12	9.3231 	71
12	9.3231 	70.95
12	9.3239 	70.92
12	9.3239 	70.93
12	9.3247 	70.9
12	9.3247 	70.9
12	9.3250 	70.91
12	9.3256 	71
12	9.3283 	71.11
12	9.3283 	71.12
12	9.3292 	70.96
12	9.3292 	70.96
12	9.3292 	70.96
12	9.3308 	70.9
12	9.3311 	70.89
12	9.3311 	70.85
12	9.3336 	70.83
12	9.3353 	70.88
